Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-1018.958	-1229.992	211.0335	1.624074	2.838615
6	-1026.91	-1238.938	212.0286	1.658539	2.1954
12	-1016.601	-1228.52	211.919	1.768104	2.1954
18	-1015.588	-1228.32	212.7318	1.950878	1.51075
24	-1008.911	-1221.279	212.368	2.045901	1.705824
30	-1023.933	-1236.104	212.171	1.948316	1.909526
36	-1019.117	-1231.072	211.9547	1.816216	2.140927
42	-1014.244	-1225.707	211.4633	1.574514	2.605718
48	-1021.476	-1234.028	212.5518	1.670418	1.8394
54	-1037.294	-1249.384	212.0902	1.871751	2.01513
60	-1026.215	-1239.098	212.8837	2.187937	1.201931
66	-1017.63	-1229.968	212.3377	2.202159	1.61571
72	-1029.335	-1242.049	212.7138	2.041525	1.45589
78	-1037.6	-1250.441	212.8414	2.103646	1.307211
84	-1036.496	-1249.177	212.681	2.147425	1.399711
90	-1030.921	-1243.001	212.08	2.11866	1.855495
96	-1017.819	-1229.998	212.1789	1.935102	1.913116
102	-1026.978	-1239.355	212.3762	1.609903	1.99905
108	-1012.366	-1224.489	212.123	1.609903	2.165697
114	-1019.954	-1231.804	211.8497	1.883215	2.165697
120	-1015.717	-1228.392	212.6752	1.989207	1.524378
126	-1015.823	-1228.017	212.1932	1.865593	1.95039
132	-1016.989	-1229.257	212.2681	1.790655	1.95039
138	-1015.424	-1227.921	212.4968	1.811234	1.780103
144	-1000.938	-1213.045	212.107	1.681471	2.129444
150	-1005.61	-1217.3	211.69	1.701204	2.384707
156	-1011.59	-1224.539	212.9491	2.145141	1.182472
162	-1013.957	-1226.958	213.0015	2.068117	1.20366
168	-1016.122	-1229.242	213.1196	2.264508	0.9022689
174	-1019.356	-1232.526	213.1696	2.175152	0.9452604
180	-1021.327	-1234.428	213.1011	2.238382	0.950785
186	-1012.996	-1226.116	213.1204	2.146343	1.024532
192	-1009.852	-1222.985	213.1337	2.215918	0.9400361
198	-1010.6	-1223.86	213.2592	2.111554	0.9171085
204	-1001.621	-1214.591	212.9696	2.068073	1.23076
210	-1016.391	-1229.253	212.8619	2.078121	1.311217
216	-1020.708	-1233.594	212.8852	2.073102	1.296427
222	-1013.058	-1225.742	212.6837	2.288896	1.284783
228	-1021.162	-1234.14	212.9783	2.258787	1.053125
234	-1025.385	-1238.47	213.0853	2.108319	1.093748
240	-1017.744	-1230.9	213.1559	1.956102	1.166987
246	-1007.696	-1220.232	212.536	1.864208	1.715532
252	-1020.635	-1233.329	212.694	1.680753	1.733477
258	-1023.6	-1236.493	212.893	1.680753	1.591115
264	-1018.359	-1230.85	212.491	1.743237	1.831099
270	-1009.611	-1222.077	212.4662	1.630935	1.924556
276	-1007.478	-1219.994	212.5164	1.888939	1.711912
282	-1007.797	-1220.389	212.5916	1.863688	1.676463
288	-1009.762	-1222.392	212.63	1.702509	1.762999
294	-1013.628	-1225.712	212.0842	1.786103	2.075798
300	-1011.199	-1223.826	212.627	2.09224	1.483271
306	-1028.579	-1241.569	212.9909	1.910682	1.3421
312	-1022.929	-1235.96	213.0308	2.220249	1.039681
318	-1019.644	-1232.256	212.6118	2.220451	1.396658
324	-1017.966	-1230.664	212.6982	2.163628	1.373571
330	-1023.198	-1236.071	212.8724	2.71244	0.4220349
336	-1018.298	-1231.102	212.8041	2.786785	0.44128
342	-1024.574	-1237.485	212.9111	2.687288	0.4988503
348	-1011.244	-1224.155	212.9108	2.687288	0.4873859
354	-1012.213	-1225.075	212.8622	2.729854	0.445747
360	-1015.644	-1228.522	212.878	2.701433	0.4088248
366	-1025.74	-1238.819	213.0791	2.474509	0.6648401
372	-1026.609	-1239.602	212.9928	2.402738	0.8894254
378	-1016.973	-1230.217	213.2442	2.173168	0.8639737
384	-1020.959	-1233.992	213.0321	2.054042	1.189475
390	-1013.942	-1226.723	212.7808	1.813772	1.575874
396	-1010.62	-1223.506	212.8867	1.757867	1.539102
402	-1015.975	-1228.868	212.8929	1.863804	1.454886
408	-1005.05	-1217.855	212.8043	1.83436	1.543414
414	-1002.545	-1214.889	212.3436	1.897273	1.82651
420	-1006.188	-1218.603	212.4148	1.786702	1.853572
426	-1003.921	-1216.961	213.0399	1.86201	1.341821
432	-1013.16	-1225.559	212.3989	1.921356	1.77158
438	-1021.057	-1233.676	212.6189	1.701371	1.77158
444	-1026.483	-1239.062	212.5785	1.741738	1.77158
450	-1019.514	-1232.167	212.6533	1.772272	1.697605
456	-1007.235	-1220.197	212.9619	1.890129	1.381258
462	-1013.861	-1226.723	212.8621	1.989872	1.381258
468	-1021.943	-1235.103	213.16	1.95974	1.160159
474	-1015.078	-1228.207	213.1284	2.159646	1.003511
480	-1021.624	-1234.633	213.0096	2.219363	1.060801
486	-1019.738	-1232.91	213.1724	2.137983	0.9809569
492	-1020.32	-1233.604	213.2843	2.096108	0.9064361
498	-1023.771	-1236.83	213.0588	2.287345	0.9437192
504	-1014.744	-1227.912	213.1683	2.29123	0.8116316
510	-1014.628	-1227.741	213.1131	2.406195	0.7260214
516	-1024.506	-1237.55	213.0432	2.521206	0.6418905
522	-1021.523	-1234.339	212.8162	2.777794	0.45465
528	-1018.623	-1231.636	213.0131	2.577608	0.5643674
534	-1016.554	-1229.542	212.9885	2.609023	0.5207133
540	-1016.013	-1229.007	212.9938	2.599955	0.5494354
546	-1015.593	-1228.575	212.9821	2.611333	0.551294
552	-1015.581	-1228.629	213.0481	2.545355	0.551294
558	-1021.226	-1234.184	212.9574	2.624703	0.5957355
564	-1002.924	-1215.96	213.0359	2.546195	0.5957355
570	-1020.878	-1234.073	213.1946	2.403511	0.5107232
576	-1020.047	-1233.064	213.0167	2.581336	0.4865605
582	-1034.884	-1247.9	213.0167	2.581336	0.4865605
588	-1017.753	-1230.765	213.0124	2.585615	0.4865605
594	-1031.002	-1243.978	212.9758	2.612586	0.5739459
600	-1030.742	-1243.808	213.0653	2.53245	0.4819964
606	-1034.745	-1247.901	213.1559	2.432178	0.5753814
612	-1022.228	-1235.358	213.1303	2.432178	0.6462954
618	-1004.735	-1218.053	213.3173	2.266507	0.5903238
624	-1017.523	-1230.772	213.2491	2.318047	0.6354936
630	-1013.746	-1226.935	213.189	2.31273	0.7531521
636	-1017.785	-1230.909	213.1243	2.170183	0.9970819
642	-1043.032	-1256.311	213.279	2.184667	0.8062046
648	-1028.994	-1242.184	213.1895	2.23523	0.8551646
654	-1038.95	-1252.085	213.1347	2.346164	0.7831065
660	-1037.56	-1250.691	213.1311	2.462335	0.5512121
666	-1041.407	-1254.634	213.2267	2.326379	0.6660251
672	-1027.742	-1240.891	213.1487	2.090387	1.051202
678	-1014.166	-1227.435	213.269	1.970075	1.051202
684	-1025.148	-1238.305	213.1564	2.290715	0.8275266
690	-1024.98	-1238.144	213.1642	2.102918	1.024161
696	-1022.979	-1235.771	212.7914	2.023164	1.410421
702	-1029.762	-1242.302	212.5401	1.686408	1.836422
708	-1033.608	-1246.645	213.0364	1.811661	1.384351
714	-1018.692	-1231.778	213.0855	2.298657	0.9022538
720	-1015.636	-1228.749	213.1128	2.257694	0.9173755
726	-1012.309	-1225.412	213.1036	2.12114	1.064788
732	-1008.862	-1221.73	212.8674	2.027493	1.347407
738	-1005.207	-1218.146	212.9395	1.97689	1.330244
744	-1007.048	-1219.978	212.93	1.816067	1.462945
750	-1016.244	-1229.046	212.8027	1.872191	1.516523
756	-1030.038	-1242.919	212.8809	1.791115	1.518688
762	-1018.008	-1230.606	212.5978	1.975823	1.591194
768	-1022.862	-1234.893	212.031	2.082939	1.913209
774	-1016.457	-1228.526	212.069	1.945543	1.980036
780	-1022.107	-1235.049	212.9417	1.725264	1.522434
786	-1018.638	-1231.533	212.895	1.760661	1.530858
792	-1023.985	-1236.486	212.5011	2.380388	1.358076
798	-1026.98	-1239.633	212.6532	2.376246	1.237679
804	-1025.413	-1237.592	212.1792	2.305001	1.655782
810	-1014.459	-1226.86	212.4014	2.21919	1.55677
816	-1011.817	-1224.466	212.6492	2.122892	1.443091
822	-1017.862	-1230.255	212.3934	2.13683	1.622671
828	-1020.929	-1232.885	211.9559	1.817916	2.139021
834	-1026.597	-1238.185	211.5881	1.637004	2.489219
840	-1042.604	-1254.273	211.6687	1.716438	2.388555
846	-1038.52	-1249.893	211.3728	1.582619	2.656586
852	-1040.11	-1252.061	211.9502	1.883992	2.099557
858	-1021.15	-1232.926	211.7757	1.813192	2.258742
864	-1035.066	-1247.35	212.2841	1.726434	1.982764
870	-1009.564	-1221.879	212.3151	1.890164	1.851004
876	-1016.668	-1228.983	212.3151	1.890164	1.851004
882	-1024.181	-1236.478	212.2973	1.863173	1.881565
888	-1009.042	-1221.95	212.9079	1.790892	1.49864
894	-1002.223	-1214.504	212.2816	1.801649	1.933927
900	-1006.875	-1219.11	212.2344	1.849323	1.933597
906	-1006.019	-1218.792	212.7735	1.774401	1.609872
912	-1016.359	-1229.112	212.7528	1.758412	1.636425
918	-1019.423	-1232.536	213.1128	1.984639	1.179697
924	-999.2498	-1212.233	212.9836	2.113808	1.179697
930	-1004.539	-1217.386	212.8467	2.18376	1.236761
936	-998.1903	-1211.202	213.0118	2.235943	1.042899
942	-998.3058	-1211.459	213.1534	1.927857	1.193652
948	-999.1862	-1212.198	213.012	1.950066	1.293327
954	-1005.504	-1218.273	212.7686	1.659984	1.695418
960	-1004.732	-1217.315	212.5832	1.720855	1.78284
966	-1007.732	-1220.284	212.552	1.849107	1.71491
972	-1021.708	-1234.424	212.7155	1.89284	1.565815
978	-1017.382	-1230.567	213.1851	1.992535	1.108396
984	-1018.961	-1232.093	213.1319	2.355063	0.7745616
990	-1012.283	-1225.453	213.1709	2.367292	0.6941184
996	-1010.868	-1224.155	213.287	2.210705	0.7591791
1002	-1012.272	-1225.476	213.2035	2.291796	0.7626825
1008	-1021.026	-1234.16	213.1344	2.237337	0.9160069
1014	-1011.01	-1223.986	212.9762	2.1929	1.116171
1020	-1013.202	-1226.407	213.2052	2.193101	0.8862084
1026	-1015.956	-1229.067	213.1108	2.070003	1.105486
1032	-1009.845	-1222.644	212.799	2.0248	1.403276
1038	-1009.442	-1222.432	212.9899	2.015566	1.257674
1044	-1010.217	-1223.013	212.7961	1.661801	1.67463
1050	-1027.895	-1240.891	212.996	2.08097	1.197345
1056	-1019.842	-1232.887	213.0449	2.12951	1.111376
1062	-1012.952	-1225.495	212.5429	1.781602	1.768602
1068	-1013.511	-1226.576	213.0649	1.915394	1.278471
1074	-1018.12	-1231.096	212.9768	2.003443	1.278471
1080	-1035.326	-1247.934	212.6082	2.069004	1.514845
1086	-1020.653	-1233.703	213.0498	1.974632	1.241835
1092	-1020.715	-1232.768	212.0529	1.774477	2.104026
1098	-1017.652	-1230.481	212.829	1.726	1.604753
1104	-1006.142	-1217.903	211.7608	1.507924	2.46185
1110	-992.0897	-1204.063	211.9731	1.541307	2.30643
1116	-994.8087	-1206.977	212.1683	1.842189	1.982738
1122	-1013.037	-1225.282	212.245	1.76552	1.982738
1128	-1021.959	-1234.273	212.3138	1.637913	2.021944
1134	-1012.31	-1224.589	212.2784	1.775078	1.953927
1140	-1009.193	-1221.957	212.7647	1.731545	1.647153
1146	-1008.947	-1221.65	212.7026	1.793659	1.647153
1152	-1000.28	-1212.961	212.6808	1.815445	1.647153
1158	-1000.285	-1213.321	213.0356	1.750779	1.432161
1164	-1002.648	-1215.623	212.9753	1.811121	1.432161
1170	-1029.508	-1242.859	213.3508	1.904235	1.035911
1176	-1012.956	-1226.155	213.199	2.008989	1.080467
1182	-993.9755	-1206.973	212.9972	1.948768	1.306443
1188	-999.1311	-1212.16	213.029	1.772654	1.420393
1194	-1011.054	-1224.061	213.0077	1.817927	1.401824
1200	-1032.729	-1245.74	213.0108	2.584694	0.4631601
1206	-1021.54	-1234.63	213.0897	2.508553	0.5069466
1212	-1023.962	-1236.924	212.9616	2.131337	1.183597
1218	-1023.715	-1236.677	212.9616	1.971151	1.317112
1224	-1023.283	-1236.393	213.1105	2.419288	0.7087934
1230	-1019.022	-1232.053	213.0313	2.081307	1.166416
1236	-1003.307	-1216.278	212.9718	2.121187	1.183562
1242	-1018.558	-1231.597	213.0387	2.060269	1.17836
1248	-1019.391	-1232.364	212.9735	2.10307	1.197692
1254	-1016.742	-1229.339	212.5972	2.018694	1.560246
1260	-1004.172	-1216.96	212.7883	1.978887	1.446878
1266	-1010.705	-1223.86	213.1549	2.034737	1.097407
1272	-1016.35	-1229.51	213.1596	2.127841	1.004125
1278	-1023.883	-1236.882	212.9985	2.110206	1.169859
1284	-1027.982	-1240.53	212.5479	1.838394	1.725322
1290	-1046.189	-1258.956	212.7674	1.861239	1.550818
1296	-1048.083	-1260.949	212.8658	1.803897	1.520422
1302	-1022.902	-1235.949	213.0471	2.480194	0.7129528
1308	-1034.805	-1247.945	213.1406	2.386644	0.7129528
1314	-1015.668	-1228.358	212.69	1.73451	1.698358
1320	-1024.669	-1237.53	212.8615	1.947392	1.414851
1326	-1017.593	-1230.847	213.2535	2.097366	0.9386913
1332	-1012.009	-1225.079	213.0696	2.175824	1.045085
1338	-1017.346	-1230.538	213.1919	2.053572	1.045085
1344	-1027.222	-1240.544	213.3218	2.054692	0.9108104
1350	-1022.804	-1236.211	213.407	1.969507	0.9108104
1356	-1027.622	-1240.933	213.3107	1.988346	0.9925047
1362	-1023.11	-1236.283	213.1735	2.043899	1.071693
1368	-1023.447	-1236.498	213.0511	1.898244	1.303731
1374	-1028.458	-1241.88	213.4216	1.796881	1.070665
1380	-1013.17	-1225.513	212.3424	1.836615	1.868967
1386	-1009.421	-1222.26	212.8385	1.856484	1.50148
1392	-1026.627	-1239.511	212.8835	1.61392	1.64634
1398	-1026.728	-1239.82	213.0923	1.618041	1.489998
1404	-1025.721	-1238.851	213.1301	1.869469	1.262571
1410	-1008.229	-1221.385	213.1558	1.91575	1.201978
1416	-1010.305	-1223.489	213.1836	1.901135	1.190686
1422	-1004.899	-1218.208	213.3092	1.849288	1.125775
1428	-997.04	-1210.343	213.3035	2.032164	0.9548119
1434	-1010.768	-1224.024	213.2566	2.201432	0.8136263
1440	-1011.702	-1224.98	213.2789	2.179129	0.8136263
1446	-1011.121	-1224.352	213.2309	2.227169	0.8136263
1452	-1009.879	-1223.228	213.3492	2.111224	0.8104471
1458	-1022.73	-1236.101	213.3708	2.008463	0.9077701
1464	-995.5231	-1208.804	213.2809	2.104748	0.9006019
1470	-1007.656	-1220.757	213.1006	2.115043	1.073357
1476	-998.0706	-1211.297	213.2264	1.989214	1.073357
1482	-997.8017	-1210.72	212.9182	2.077044	1.266088
1488	-1005.843	-1218.799	212.9557	1.860904	1.408821
1494	-1011.527	-1224.278	212.7506	1.585919	1.760245
1500	-1005.309	-1217.208	211.8993	1.56408	2.33892
1506	-1016.991	-1229.604	212.6131	1.604005	1.842887
1512	-1008.286	-1221.159	212.8732	1.812679	1.508298
1518	-1011.075	-1224.054	212.9795	1.885609	1.37096
1524	-1011.045	-1223.991	212.9462	1.885609	1.397015
1530	-1008.361	-1221.555	213.1943	2.160809	0.9341238
1536	-1024.986	-1238.268	213.2827	1.990959	1.017701
1542	-1031.445	-1244.714	213.2694	2.066653	0.9544307
1548	-1014.109	-1227.184	213.075	2.028089	1.174734
1554	-1015.758	-1228.527	212.7689	1.704009	1.663861
1560	-1020.927	-1233.855	212.928	1.804106	1.473554
1566	-1019.761	-1232.758	212.9972	1.580942	1.587897
1572	-1014.286	-1227.346	213.0605	1.79171	1.381104
1578	-1011.033	-1223.763	212.7304	1.808034	1.616777
1584	-1014.817	-1227.579	212.7625	1.902108	1.524188
1590	-1029.97	-1242.717	212.7462	1.756676	1.642415
1596	-1016.279	-1228.638	212.3588	1.730972	1.929506
1602	-1019.149	-1230.99	211.8412	1.701175	2.288561
1608	-1010.719	-1223.314	212.5949	1.583084	1.869665
1614	-1013.66	-1226.234	212.5742	2.039631	1.56179
1620	-1015.875	-1228.594	212.7191	1.834808	1.605508
1626	-1016.2	-1229.002	212.8019	1.677213	1.659441
1632	-1021.418	-1234.327	212.9094	1.796946	1.492965
1638	-1014.35	-1227.323	212.9733	1.86253	1.393908
1644	-1001.605	-1214.847	213.2429	2.165874	0.8740866
1650	-1011.142	-1224.354	213.2124	2.173629	0.9001083
1656	-1010.351	-1223.51	213.1589	2.300844	0.8113914
